Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
9285338530,"Jun 17, 2023, 9:23:55 PM",post leg day shakeout,Run,"in the rain
listening to central cee",2209,4.28,,,false,,Brooks Ghost 14 10k ghosties,activities/9285338530.gpx,,,2209.0,1429.0,4283.7,4.986,2.998,42.3,41.9,42.2,85.5,46.0,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,11.0,0.0,,1.0,4382.7,,,,,,,,,,,,,,,,13505488.0,,,,,,,,,,0.0,1.939,0.0,,,,3656.0,,,,,,,,,,,,,,,""
9316621184,"Jun 22, 2023, 9:57:09 PM",post tennis run,Run,it was so fucking hot and i just have a tendency to gravitate to hilly routes what can i say,3641,6.94,,,false,,Brooks Ghost 14 10k ghosties,activities/9316621184.gpx,,,3641.0,2168.0,6943.5,6.396,3.203,104.0,104.7,27.4,79.7,46.1,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,57.0,0.0,,1.0,7199.1,1687467648.0,1.0,21.3,21.0,12.5,0.57,1021.8,3.4,6.8,126.0,0.0,1687424768.0,1687479936.0,0.125,,13505488.0,0.0,1.0,0.23,29174.4,3.0,,,,,0.0,1.907,9.5,,,,5566.0,,,,,,,,,,,,,,,""
9328761051,"Jun 24, 2023, 7:40:54 PM",Night Run,Run,,21354,3.99,,,false,,Brooks Ghost 14 10k ghosties,activities/9328761051.gpx,,,21354.0,2311.0,3991.0,9.534,1.727,47.3,49.6,34.0,61.3,15.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4075.2,1687633152.0,5.0,25.3,27.4,21.0,0.77,1009.5,2.2,4.6,177.0,0.2,1687597696.0,1687652736.0,0.125,,13505488.0,0.89,5.0,0.91,15064.7,4.0,,,,,0.0,0.187,423.7,,,,2896.0,,,,,,,,,,,,,,,""
9340755645,"Jun 26, 2023, 10:16:58 PM",see if i avoid hills they come find me,Run,featuring tiësto and various artists,3027,6.89,,,false,,Brooks Ghost 14 10k ghosties,activities/9340755645.gpx,,,3027.0,2220.0,6890.5,5.406,3.104,93.8,92.9,30.0,84.8,47.2,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,24.0,0.0,,1.0,6999.3,1687816832.0,5.0,22.4,24.2,20.8,0.91,1009.1,1.8,5.1,74.0,0.3,1687770496.0,1687825536.0,0.25,,13505488.0,0.76,5.0,0.94,14094.4,1.0,,,,,0.0,2.276,86.5,,,,5610.0,,,,,,,,,,,,,,,""
9376648770,"Jul 1, 2023, 10:10:39 PM",Afternoon Run,Run,,35976,5.12,,,false,,Brooks Ghost 14 10k ghosties,activities/9376648770.gpx,,,35976.0,1402.0,5120.5,6.108,3.652,71.9,72.9,27.4,61.3,39.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5268.7,1688248832.0,3.0,23.9,25.2,18.8,0.73,1015.8,1.9,4.4,115.0,0.0,1688202624.0,1688257536.0,0.375,,13505488.0,0.0,1.0,0.89,22504.5,1.0,,,,,0.0,0.142,423.4,,,,3586.0,,,,,,,,,,,,,,,""
9381435968,"Jul 2, 2023, 6:32:50 PM",Lunch Run,Run,,80432,5.06,,,false,,Brooks Ghost 14 10k ghosties,activities/9381435968.gpx,,,80432.0,1572.0,5062.6,5.362,3.221,64.8,65.8,27.4,58.6,13.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5163.8,1688320768.0,5.0,19.9,21.0,18.9,0.94,1012.6,1.5,4.5,92.0,1.5,1688289024.0,1688343936.0,0.5,,13505488.0,0.94,5.0,0.98,8759.8,5.0,,,,,0.0,0.063,441.9,,,,4036.0,,,,,,,,,,,,,,,""
9387583137,"Jul 4, 2023, 3:16:31 PM",Lunch Run,Run,,1858,5.54,,,false,,Brooks Ghost 14 10k ghosties,activities/9387583137.gpx,,,1858.0,1772.0,5540.3,7.346,3.127,60.6,60.0,41.6,79.7,9.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5605.4,1688482816.0,5.0,22.6,24.4,20.8,0.9,1013.0,1.0,2.8,113.0,0.3,1688461952.0,1688516736.0,0.625,,13505488.0,0.93,5.0,0.97,10707.3,4.0,,,,,0.0,2.982,0.0,,,,4654.0,,,,,,,,,,,,,,,""
9433838903,"Jul 8, 2023, 10:14:19 PM",Evening Run,Run,,261449,1.51,,,false,,Brooks Ghost 14 10k ghosties,activities/9433838903.gpx,,,261449.0,460.0,1516.9,6.12,3.298,23.2,14.2,34.0,52.2,22.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1570.2,1688853632.0,2.0,25.7,27.9,21.2,0.76,1010.5,2.9,5.7,112.0,0.0,1688807680.0,1688862208.0,0.75,,13505488.0,0.4,5.0,0.47,19281.2,1.0,,,,,0.0,0.006,245.3,,,,1174.0,,,,,,,,,,,,,,,""
9434567494,"Jul 11, 2023, 10:52:00 PM",Evening Run,Run,,824,1.98,,,false,,Brooks Ghost 14 10k ghosties,activities/9434567494.gpx,,,824.0,628.0,1983.3,5.572,3.158,31.1,-0.6,46.3,78.5,48.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2084.5,1689112832.0,1.0,29.7,31.6,19.7,0.55,1009.2,1.5,3.3,263.0,0.0,1689067008.0,1689121408.0,0.875,,13505488.0,0.0,1.0,0.04,30700.8,1.0,,,,,0.0,2.407,0.0,,,,1628.0,,,,,,,,,,,,,,,""
9449140139,"Jul 14, 2023, 11:22:34 AM",Morning Run,Run,,1855,3.84,,,false,,Brooks Ghost 14 10k ghosties,activities/9449140139.gpx,,,1855.0,1179.0,3840.5,5.466,3.257,58.6,57.8,34.5,61.3,36.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3973.6,1689332352.0,3.0,19.6,20.8,19.0,0.96,1013.2,0.7,2.0,191.0,0.0,1689326336.0,1689380480.0,0.875,,13505488.0,0.85,5.0,0.76,17372.4,1.0,,,,,0.0,2.07,177.4,,,,3026.0,,,,,,,,,,,,,,,""
